reward,f1,nhd
0.109619687,0,0.181818182
0.107801505,0,0.190909091
0.105983323,0,0.2
0.104165141,0,0.209090909
0.10234696,0,0.218181818
0.100528778,0,0.227272727
0.098710596,0,0.236363636
0.096892414,0.074074074,0.227272727
0.095074232,0.071428571,0.236363636
0.09325605,0.068965517,0.245454545
0.088688411,0.066666667,0.254545455
0.076551724,0.129032258,0.245454545
0.08670895,0.125,0.254545455
0.078553417,0.121212121,0.263636364
0.088366593,0.176470588,0.254545455
0.075668449,0.171428571,0.263636364
0.085663189,0.166666667,0.272727273
0.083845007,0.162162162,0.281818182
0.076647727,0.157894737,0.290909091
0.047014829,0.153846154,0.3
0.107801505,0,0.190909091
0.105983323,0,0.2
0.105983323,0,0.2
0.104165141,0,0.209090909
0.104165141,0,0.209090909
0.10234696,0,0.218181818
0.10234696,0,0.218181818
0.100528778,0,0.227272727
0.100528778,0,0.227272727
0.098710596,0.076923077,0.218181818
0.098710596,0.076923077,0.218181818
0.096892414,0.074074074,0.227272727
0.096892414,0.074074074,0.227272727
0.095074232,0.071428571,0.236363636
0.095074232,0.071428571,0.236363636
0.082227913,0.068965517,0.245454545
0.10030303,0.068965517,0.245454545
0.081108962,0.066666667,0.254545455
0.09563932,0.133333333,0.236363636
0.076551724,0.129032258,0.245454545
0.076551724,0.129032258,0.245454545
0.080719424,0.129032258,0.245454545
0.087556818,0.125,0.254545455
0.087556818,0.125,0.254545455
0.080177196,0.121212121,0.263636364
0.080177196,0.121212121,0.263636364
0.082537606,0.133333333,0.236363636
0.075238095,0.129032258,0.245454545
0.078,0.064516129,0.263636364
0.07540404,0.0625,0.272727273
0.087556818,0.125,0.254545455
0.076363636,0.181818182,0.245454545
0.07599473,0.176470588,0.254545455
0.07599473,0.176470588,0.254545455
0.07599473,0.176470588,0.254545455
0.070727273,0.171428571,0.263636364
0.070727273,0.171428571,0.263636364
0.070727273,0.171428571,0.263636364
0.072820329,0.121212121,0.263636364
0.08265943,0.125,0.254545455
0.093030303,0.181818182,0.245454545
0.070435866,0.176470588,0.254545455
0.085656566,0.176470588,0.254545455
0.079597502,0.171428571,0.263636364
0.085630499,0.171428571,0.263636364
0.07777932,0.166666667,0.272727273
0.085630499,0.171428571,0.263636364
0.068131313,0.166666667,0.272727273
0.084730229,0.166666667,0.272727273
0.066313131,0.162162162,0.281818182
0.051895006,0.166666667,0.272727273
0.076783217,0.162162162,0.281818182
0.046583072,0.157894737,0.290909091
0.070540184,0.162162162,0.281818182
0.073836235,0.117647059,0.272727273
0.072320769,0.114285714,0.281818182
0.068909091,0.166666667,0.272727273
0.04895202,0.162162162,0.281818182
0.047564698,0.157894737,0.290909091
0.068909091,0.166666667,0.272727273
0.068909091,0.166666667,0.272727273
0.068909091,0.166666667,0.272727273
0.048258643,0.157894737,0.290909091
0.105983323,0,0.2
0.104165141,0,0.209090909
0.104165141,0,0.209090909
0.10234696,0,0.218181818
0.10234696,0,0.218181818
0.100528778,0,0.227272727
0.100528778,0,0.227272727
0.098710596,0.076923077,0.218181818
0.098710596,0.076923077,0.218181818
0.096892414,0.074074074,0.227272727
0.096892414,0.074074074,0.227272727
0.095074232,0.071428571,0.236363636
0.095074232,0.071428571,0.236363636
0.091328671,0.068965517,0.245454545
0.095636364,0.068965517,0.245454545
0.080409731,0.133333333,0.236363636
0.092929293,0.133333333,0.236363636
0.083703704,0.129032258,0.245454545
0.727128427,1,0
0.109619687,0,0.181818182
0.107801505,0,0.190909091
0.185461185,0.090909091,0.181818182
0.183643003,0.086956522,0.190909091
0.181824821,0.166666667,0.181818182
0.168181818,0.24,0.172727273
0.178188457,0.230769231,0.181818182
0.176370276,0.222222222,0.190909091
0.162727273,0.214285714,0.2
0.166142274,0.206896552,0.209090909
0.37129504,0.266666667,0.2
0.349956278,0.258064516,0.209090909
0.406322044,0.258064516,0.209090909
0.368251045,0.25,0.218181818
0.367658676,0.25,0.218181818
0.368251045,0.25,0.218181818
0.315121614,0.242424242,0.227272727
0.365656566,0.242424242,0.227272727
0.365840494,0.242424242,0.227272727
0.347796331,0.25,0.218181818
0.367658676,0.25,0.218181818
0.365840494,0.242424242,0.227272727
0.367658676,0.25,0.218181818
0.365840494,0.242424242,0.227272727
0.365840494,0.303030303,0.209090909
0.312632204,0.294117647,0.218181818
0.263397557,0.235294118,0.236363636
0.365840494,0.303030303,0.209090909
0.343891085,0.294117647,0.218181818
0.346319915,0.303030303,0.209090909
0.343891085,0.235294118,0.236363636
0.294618773,0.242424242,0.227272727
0.41039075,0.294117647,0.218181818
0.378481241,0.285714286,0.227272727
0.393655303,0.342857143,0.209090909
0.468423481,0.388888889,0.2
0.460305577,0.378378378,0.209090909
0.411037296,0.368421053,0.218181818
0.40082343,0.378378378,0.209090909
0.402496817,0.368421053,0.218181818
0.476250416,0.378378378,0.209090909
0.403118022,0.368421053,0.218181818
0.440383593,0.368421053,0.218181818
0.408512044,0.368421053,0.218181818
0.339191919,0.358974359,0.227272727
0.39688513,0.368421053,0.218181818
0.314709533,0.368421053,0.218181818
0.461611722,0.421052632,0.2
0.400381016,0.461538462,0.190909091
0.376910319,0.41025641,0.209090909
0.393701299,0.368421053,0.218181818
0.324525814,0.368421053,0.218181818
0.406342249,0.368421053,0.218181818
0.462813775,0.358974359,0.227272727
0.451587009,0.35,0.236363636
0.464620968,0.35,0.236363636
0.462802786,0.390243902,0.227272727
0.387512626,0.341463415,0.245454545
0.454234903,0.428571429,0.218181818
0.465341325,0.418604651,0.227272727
0.375339191,0.409090909,0.236363636
0.399189451,0.454545455,0.218181818
0.443426028,0.341463415,0.245454545
0.417454242,0.380952381,0.236363636
0.402808858,0.358974359,0.227272727
0.443948276,0.358974359,0.227272727
0.39359881,0.4,0.218181818
0.3574577,0.421052632,0.2
0.367836746,0.358974359,0.227272727
0.460305577,0.378378378,0.209090909
0.397743653,0.461538462,0.190909091
0.348641436,0.409090909,0.236363636
0.361827925,0.358974359,0.227272727
0.342282474,0.341463415,0.245454545
0.396876744,0.41025641,0.209090909
0.46643915,0.358974359,0.227272727
0.476863877,0.35,0.236363636
0.47176062,0.341463415,0.245454545
0.463759398,0.380952381,0.236363636
0.465029932,0.372093023,0.245454545
0.435857826,0.363636364,0.254545455
0.60222198,0.409090909,0.236363636
0.467772968,0.4,0.245454545
0.4004329,0.444444444,0.227272727
0.393471389,0.4,0.245454545
0.449204115,0.4,0.245454545
0.303462494,0.4,0.245454545
0.407543603,0.4,0.245454545
0.449228107,0.4,0.245454545
0.31296088,0.4,0.245454545
0.461393569,0.444444444,0.227272727
0.291448429,0.4,0.245454545
0.60222198,0.409090909,0.236363636
0.60222198,0.409090909,0.236363636
0.398795649,0.4,0.245454545
0.60222198,0.409090909,0.236363636
0.60222198,0.409090909,0.236363636
0.60222198,0.409090909,0.236363636
0.60222198,0.409090909,0.236363636
0.60222198,0.409090909,0.236363636
0.382743653,0.4,0.245454545
0.727128427,1,0
0.066727273,0.35,0.4
0.073979266,0.35,0.388888889
0.08188902,0.3,0.333333333
0.071466769,0.3,0.342857143
0.079456169,0.3,0.352941176
0.079208754,0.3,0.342857143
0.074901186,0.3,0.342857143
0.073083004,0.35,0.388888889
0.062344877,0.35,0.378378378
0.078121784,0.4,0.421052632
0.068524721,0.4,0.41025641
0.29458817,0.45,0.461538462
0.269201862,0.4,0.41025641
0.269948746,0.5,0.512820513
0.288560521,0.45,0.473684211
0.280905186,0.4,0.421052632
0.351632932,0.35,0.358974359
0.338757028,0.35,0.35
0.261738519,0.4,0.4
0.366336214,0.4,0.4
0.448965262,0.4,0.41025641
0.321485089,0.45,0.461538462
0.440020843,0.4,0.4
0.338283421,0.45,0.45
0.432672591,0.35,0.358974359
0.340101603,0.4,0.41025641
0.45193544,0.35,0.35
0.345709846,0.4,0.4
0.357535052,0.35,0.341463415
0.3651605,0.35,0.341463415
0.410512674,0.3,0.3
0.327544992,0.35,0.35
0.410933059,0.35,0.341463415
0.327128427,0.4,0.390243902
0.438202662,0.35,0.341463415
0.336465239,0.4,0.390243902
0.358145363,0.35,0.333333333
0.426648345,0.35,0.333333333
0.438246753,0.35,0.341463415
0.340767337,0.4,0.390243902
0.364758497,0.35,0.333333333
0.362428048,0.35,0.333333333
0.449485329,0.3,0.307692308
0.308746185,0.35,0.358974359
0.350620491,0.3,0.3
0.452617575,0.3,0.307692308
0.445613276,0.35,0.358974359
0.579425837,0.4,0.4
0.421988158,0.35,0.35
0.570143749,0.4,0.390243902
0.441990596,0.35,0.341463415
0.496166008,0.35,0.341463415
0.569083411,0.4,0.390243902
0.448981211,0.35,0.341463415
0.526496164,0.4,0.380952381
0.521740891,0.4,0.380952381
0.563455242,0.35,0.341463415
0.421287085,0.3,0.292682927
0.554005848,0.35,0.333333333
0.533361823,0.4,0.380952381
0.583107448,0.45,0.428571429
0.44015873,0.4,0.380952381
0.545319343,0.45,0.418604651
0.581289266,0.45,0.418604651
0.438354232,0.4,0.372093023
0.568325567,0.4,0.380952381
0.425789474,0.35,0.333333333
0.438354232,0.4,0.372093023
0.557457326,0.45,0.409090909
0.42941883,0.4,0.363636364
0.548613917,0.45,0.418604651
0.433055193,0.35,0.333333333
0.431237012,0.4,0.372093023
0.44716303,0.35,0.333333333
0.513296457,0.4,0.372093023
0.534189144,0.45,0.418604651
0.525411255,0.45,0.409090909
0.573971292,0.4,0.372093023
0.438340548,0.35,0.325581395
0.617077922,0.45,0.409090909
0.407080482,0.4,0.363636364
0.555235976,0.45,0.4
0.570334928,0.45,0.4
0.516592757,0.45,0.4
0.412897249,0.4,0.355555556
0.563337987,0.45,0.4
0.427600648,0.4,0.355555556
0.558100683,0.5,0.454545455
0.443526666,0.45,0.409090909
0.434717868,0.4,0.355555556
0.581635968,0.45,0.409090909
0.42941883,0.4,0.363636364
0.542275698,0.45,0.4
0.507662338,0.45,0.409090909
0.53478178,0.45,0.4
0.545584416,0.45,0.391304348
0.555235976,0.45,0.4
0.602748116,0.45,0.409090909
0.443526666,0.4,0.363636364
0.555639144,0.45,0.4
0.577652903,0.45,0.4
0.727128427,1,1
0.066727273,0.4,0.190909091
0.070485362,0.388888889,0.2
0.066727273,0.4,0.190909091
0.075819805,0.388888889,0.2
0.065402385,0.378378378,0.209090909
0.084854456,0.432432432,0.190909091
0.080084468,0.444444444,0.181818182
0.079161167,0.432432432,0.190909091
0.072183442,0.421052632,0.2
0.067700078,0.473684211,0.181818182
0.06951826,0.486486486,0.172727273
0.065189394,0.473684211,0.181818182
0.064194041,0.461538462,0.190909091
0.07036526,0.461538462,0.190909091
0.062801183,0.473684211,0.181818182
0.068524721,0.461538462,0.190909091
0.060743802,0.45,0.2
0.05892562,0.43902439,0.209090909
0.064929467,0.45,0.2
0.066747649,0.461538462,0.190909091
0.071931295,0.45,0.2
0.053674678,0.45,0.2
0.06155303,0.4,0.218181818
0.145895317,0.41025641,0.209090909
0.144886364,0.4,0.218181818
0.146444619,0.390243902,0.227272727
0.054337867,0.390243902,0.227272727
0.058394428,0.4,0.218181818
0.126222679,0.4,0.218181818
0.049010101,0.41025641,0.209090909
0.142909605,0.380952381,0.236363636
0.141462991,0.390243902,0.227272727
0.150039872,0.4,0.218181818
0.144727786,0.390243902,0.227272727
0.129146224,0.390243902,0.227272727
0.056156049,0.4,0.218181818
0.144077135,0.4,0.218181818
0.046047572,0.390243902,0.227272727
0.072811741,0.4,0.218181818
0.046047572,0.390243902,0.227272727
0.144077135,0.4,0.218181818
0.086432666,0.41025641,0.209090909
0.128531694,0.35,0.236363636
0.110627706,0.341463415,0.245454545
0.056275801,0.358974359,0.227272727
0.125161012,0.341463415,0.245454545
0.043555556,0.333333333,0.254545455
0.043555556,0.333333333,0.254545455
0.066728896,0.390243902,0.227272727
0.040942761,0.341463415,0.245454545
0.086432666,0.41025641,0.209090909
0.128531694,0.35,0.236363636
0.150080982,0.358974359,0.227272727
0.047191919,0.35,0.236363636
0.056890332,0.35,0.236363636
0.072030509,0.358974359,0.227272727
0.078252656,0.368421053,0.218181818
0.05359045,0.315789474,0.236363636
0.074616293,0.4,0.218181818
0.078410478,0.4,0.218181818
0.055254297,0.35,0.236363636
0.054723301,0.358974359,0.227272727
0.078410478,0.4,0.218181818
0.049954086,0.4,0.218181818
0.062062973,0.41025641,0.209090909
0.127748752,0.35,0.236363636
0.128320968,0.341463415,0.245454545
0.053253968,0.333333333,0.254545455
0.138405483,0.341463415,0.245454545
0.130841751,0.341463415,0.245454545
0.047768441,0.333333333,0.254545455
0.134418605,0.333333333,0.254545455
0.054246894,0.341463415,0.245454545
0.045218855,0.325581395,0.263636364
0.049268756,0.333333333,0.254545455
0.043555556,0.333333333,0.254545455
0.062784884,0.341463415,0.245454545
0.079255998,0.358974359,0.227272727
0.064326361,0.390243902,0.227272727
0.08040655,0.35,0.236363636
0.122209979,0.390243902,0.227272727
0.044229391,0.380952381,0.236363636
0.053253968,0.380952381,0.236363636
0.119950158,0.3,0.254545455
0.055912276,0.292682927,0.263636364
0.040059128,0.3,0.254545455
0.062145336,0.341463415,0.245454545
0.076481502,0.35,0.236363636
0.08143085,0.4,0.218181818
0.074774115,0.333333333,0.254545455
0.05507215,0.341463415,0.245454545
0.12593057,0.43902439,0.209090909
0.0456102,0.428571429,0.218181818
0.039124579,0.428571429,0.218181818
0.126979194,0.45,0.2
0.123660697,0.43902439,0.209090909
0.048345865,0.428571429,0.218181818
0.123660697,0.43902439,0.209090909
0.075619635,0.43902439,0.209090909
0.063107263,0.45,0.2
0.081716141,0.43902439,0.209090909
0.727128427,1,0
